gene_id,SRR6825925,SRR6825926,SRR6825928,SRR6825930,SRR6825932,SRR6825933,SRR6825934,SRR6825935,SRR6825938,SRR6825939,SRR6825940,SRR6825941
gene-LOC121921658,0,0,0,12,0,0,0,16,28,5,2,0
gene-TRUB2,252,253,199,160,175,321,322,532,181,244,290,255
gene-PCLAF,14,8,6,4,0,0,8,0,8,0,7,0
gene-LOC121916887,4,17,19,0,16,20,29,12,6,28,30,22
gene-LOC121916881,297,599,380,2033,281,248,243,4084,257,345,271,1140
gene-FOXR1,0,0,3,0,11,3,0,4,0,0,28,0
gene-KIF3A,1272,29,58,86,59,56,60,5078,20,144,970,48
gene-KIF3C,397,567,639,937,613,640,1428,1269,695,1095,515,744
gene-LOC121935576,0,0,14,0,11,19,0,0,0,0,24,10
gene-NRXN3,7,0,0,0,0,0,0,121,0,7,0,6
gene-PPRC1,48,242,534,643,280,494,395,1424,283,593,450,419
gene-ATP5PD,3650,4993,3970,5126,4444,5989,10035,8046,5200,5188,4904,3691
gene-ATP5PF,3008,4841,3462,5046,4125,5015,7889,8420,4801,4999,2783,3560
gene-ATP5PO,3524,5236,3403,3766,3315,4689,9205,7880,4261,4505,3763,2668
gene-CD79A,22,23,22,26,41,4,17,45,25,18,17,20
gene-CD79B,58,17,16,83,13,7,14,29,118,4,54,15
gene-EML4,1404,2137,2397,2324,2026,3557,2036,3813,1146,1843,1305,2148
gene-AP4M1,1185,1049,584,501,701,556,2559,1393,1678,824,1182,782
gene-STPG4,0,0,0,0,0,8,0,0,0,0,0,8
gene-STPG1,0,0,8,0,11,0,0,0,4,3,8,4
gene-STPG2,0,37,20,13,17,15,8,98,28,57,24,39
gene-STPG3,0,0,0,3,50,22,0,0,0,31,24,0
gene-TMEM272,0,0,0,0,0,0,0,0,0,0,0,0
gene-RUBCN,2644,2458,4757,1673,4616,3180,4650,11616,2643,3556,2801,2607
gene-TMEM271,0,0,0,0,0,0,0,0,0,0,0,0
gene-TMEM275,0,0,1,0,0,0,0,0,0,0,0,0
gene-LOC121925177,0,0,0,0,5,0,11,6,49,0,0,0
gene-RIMS3,8,26,3,8,4,10,31,19,24,12,33,0
gene-LOC121925175,0,0,0,0,0,0,0,11,0,0,0,0
gene-LOC121925171,0,0,0,0,4,0,0,0,7,6,0,0
gene-CCNT1,1718,1973,1517,3480,1347,1607,3222,3445,4067,1251,1109,892
gene-LOC121929377,7,0,13,0,6,0,0,15,0,6,0,0
gene-ENTPD8,662,1138,1472,1190,1650,2984,1659,3848,760,2241,1635,1878
gene-HROB,84,8,28,92,17,21,20,8,24,96,4,74
gene-TMEM181,415,1028,522,1969,1041,914,2514,2610,631,1544,507,475
gene-TMEM182,4,0,2,0,0,0,0,0,0,0,0,0
gene-RIMS4,0,0,0,0,0,0,0,0,0,0,0,4
gene-TMEM186,391,359,406,542,353,407,561,757,519,382,715,446
gene-TMEM187,102,202,82,39,107,160,201,572,116,196,116,76
gene-VSIG10,998,715,1524,625,532,994,1742,1780,1281,1091,1066,1152
gene-LOC121930311,0,0,0,0,0,160,0,0,0,0,0,0
gene-MTRFR,320,432,288,217,342,331,306,620,402,236,299,174
gene-KIF21A,3049,2290,2138,4164,4095,3234,3271,5631,5406,3214,3838,2154
gene-KIF21B,72,54,530,130,244,50,138,217,101,175,300,104
gene-TAC3,136,16,172,134,83,0,25,106,16,151,4,0
gene-MTRF1,305,178,214,159,206,131,280,364,443,166,217,184
gene-RCAN3,66,63,236,402,187,185,161,456,60,202,312,183
gene-RCAN1,211,575,531,925,494,422,839,1124,390,594,714,631
gene-SMARCC1,268,613,1195,1417,1009,1282,617,2121,238,998,607,1513
gene-SMARCC2,2454,3192,3842,4099,3210,3835,3102,7372,4019,3074,3101,3471
gene-LOC121919302,12,56,10,56,65,22,138,50,181,37,31,18
gene-LOC121919306,260,166,98,0,1312,535,230,101,134,499,185,25
gene-LOC121919305,12,6,35,20,24,14,136,124,1410,230,8,72
gene-LOC121919304,15,35,101,11,293,432,155,1347,126,646,574,21
gene-TSC2,1513,1414,2083,2609,1559,1699,2269,4042,3083,1569,1307,2082
gene-TSC1,1042,1604,3175,4281,2045,2914,2852,4580,1153,2290,4285,3926
gene-NCALD,4,29,17,19,22,8,9,52,12,4,8,17
gene-LOC121916308,0,4,6,0,0,0,0,10,0,12,0,4
gene-LOC121931955,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121916305,9726,8794,9198,6169,7609,16647,21354,9607,4299,9884,7399,7276
gene-ENTPD3,24,14,11,48,17,0,0,9,22,4,0,23
gene-LOC121916300,93,140,246,118,50,74,129,195,310,54,317,126
gene-ST6GAL1,906,2165,2834,5925,2826,3646,4779,6119,1390,3232,3463,2034
gene-AOAH,5,0,8,0,0,0,8,33,0,3,4,3
gene-ST6GAL2,0,0,7,10,0,6,4,12,0,0,0,0
gene-TCTA,2029,2352,2390,4267,2362,2268,3428,4101,3758,1984,3561,2572
gene-TBCE,1476,1912,1382,2284,1459,1728,2161,5149,1848,1872,1329,1843
gene-TRNAK-UUU,0,0,0,0,0,0,0,0,0,0,0,1
gene-LOC121922259,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121922258,46676,39854,32519,44959,36558,35078,87149,79063,68886,33912,45613,44167
gene-CCDC85A,41,0,0,14,29,6,0,130,0,75,11,8
gene-CCDC85B,19,39,43,61,48,59,38,76,8,56,50,10
gene-CCDC85C,300,715,1084,1052,605,2362,701,2386,295,825,442,889
gene-GLB1L,1120,1196,1498,705,959,1466,1517,1452,935,1116,1972,1165
gene-FNDC11,16,38,10,0,0,4,12,8,21,10,0,3
gene-FNDC10,29,52,23,45,51,18,102,83,33,53,44,35
gene-TSPO2,109,220,413,262,87,153,271,146,185,126,326,206
gene-LOC121915140,0,0,0,11,2,0,0,0,0,0,0,0
gene-LOC121915143,0,5,5,8,66,0,8,0,0,33,0,0
gene-LOC121915145,22,8,18,32,0,4,26,25,24,24,19,3
gene-NAXD,2708,2442,1013,4095,1698,1576,3681,5658,2795,1969,773,1225
gene-NAXE,2252,2022,1769,939,2301,2194,3006,1716,3177,2208,2125,1926
gene-LOC121919874,0,28,15,31,0,0,8,106,17,0,0,15
gene-LOC121919870,4,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121919872,34,9,127,6,51,968,64,0,33,50,83,266
gene-LIN52,69,231,254,332,358,361,454,635,179,315,188,328
gene-LIN54,733,957,492,1815,782,805,1594,2438,1046,656,876,778
gene-IBA57,168,360,323,199,110,327,254,339,234,344,395,330
gene-PACS2,196,236,238,413,318,250,426,923,176,232,315,288
gene-SASH3,65,129,151,62,121,76,147,67,167,113,91,101
gene-ASNS,730,866,1080,614,750,883,1132,1943,1109,901,709,743
gene-ROR2,11,16,8,12,11,22,4,121,4,0,12,18
gene-ROR1,56,75,18,33,11,18,0,77,46,0,20,15
gene-TRNAS-GCU-8,0,0,0,0,0,0,0,0,0,0,0,0
gene-TRNAS-GCU-7,0,0,1,0,9,6,0,0,0,18,1,3
gene-TRNAS-GCU-6,0,0,0,0,2,9,0,0,0,2,0,1
gene-TRNAS-GCU-5,0,0,1,0,3,3,0,0,0,4,0,11
gene-TRNAS-GCU-4,0,3,0,0,0,0,0,0,0,0,1,1
gene-TRNAS-GCU-3,0,0,0,0,0,0,0,0,0,0,0,1
gene-TRNAS-GCU-2,0,0,0,1,0,1,0,0,0,0,0,1
gene-TREX1,0,0,13,0,0,0,0,0,0,4,3,4
gene-SAP30,2054,2651,2074,2333,2118,1658,3819,4000,4494,1731,2609,1962
gene-FFAR4,0,0,12,0,21,6,9,16,0,20,19,14
gene-LOC121914654,0,29,56,41,15,22,6,48,12,21,21,20
gene-FFAR2,0,8,255,0,28,5,0,23,0,4,11,4
gene-MITD1,393,325,270,305,209,177,441,710,841,159,391,191
gene-ABHD2,1160,1702,1364,3397,1415,1907,3983,4994,1061,1915,1089,1352
gene-RORB,0,11,36,38,33,162,6,70,187,13,107,99
gene-RORC,47,23,89,32,85,116,128,95,20,118,22,13
gene-RORA,0,0,31,12,0,28,0,11,0,7,26,17
gene-ETNPPL,15758,6973,4128,28556,2394,2785,3546,33569,7469,1632,9547,5875
gene-THNSL1,320,597,828,109,804,877,529,804,127,945,1238,720
gene-LOC121916379,4874,4829,3444,4707,3898,6382,7801,9316,5272,4553,4364,3686
gene-ATP5MF,2687,3571,2658,3458,2534,3639,6765,6727,3798,3008,2913,2599
gene-ATP5MG,6863,8201,5564,4632,8877,8132,16765,11738,13482,8204,8983,6635
gene-ATP5ME,1754,2572,1499,1502,1838,1701,3464,3007,3273,1874,2399,1661
gene-ATP5MK,1865,3371,2520,2379,2320,3162,3589,5113,1866,3160,2715,2334
gene-LPGAT1,245,316,1309,880,940,892,1294,1022,517,1065,1370,785
gene-PCF11,2107,2112,3721,1827,3102,4747,2721,4660,3189,3530,4070,4537
gene-LRIF1,328,443,602,801,379,334,300,865,747,494,834,628
gene-LOC121933682,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933683,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933680,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933681,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933686,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933687,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933684,0,0,0,0,0,0,0,0,6,0,0,0
gene-LOC121933685,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933688,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933689,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121919462,6,0,92,8,144,149,30,4,8,115,603,133
gene-LOC121919460,167,135,399,172,318,689,395,616,57,646,68,293
gene-P4HB,27872,46622,38349,28860,31781,38293,69976,62162,28526,45194,59625,31813
gene-LOC121919468,7,0,17,3,6,7,10,4,21,25,3,8
gene-RAX,0,0,0,0,0,0,0,0,0,0,0,0
gene-RAN,5717,6717,6389,5974,6383,6828,10384,10671,12958,7125,10342,8011
gene-VMP1,1216,5807,1759,4384,1341,1744,12745,30447,2137,4426,2751,2416
gene-LOC121933534,0,0,0,4,0,4,0,6,0,0,0,0
gene-SEPTIN9,606,1562,1959,6097,1879,2643,1925,5067,900,2858,1158,1760
gene-LOC121933536,337,211,422,447,394,479,553,746,455,482,320,327
gene-LOC121933537,62,37,52,22,176,406,8,25,56,280,158,162
gene-SEPTIN8,239,294,304,648,302,805,558,1039,303,389,539,445
gene-GIGYF1,739,465,569,964,802,903,698,1589,333,961,596,747
gene-GIGYF2,1285,1451,1892,2081,1539,1492,1922,3630,2114,1474,1793,1585
gene-CIR1,1435,1624,1689,2527,1315,1180,2084,2833,3282,1187,2835,2116
gene-LOC121932488,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121932486,0,0,0,0,0,0,0,4,0,0,0,0
gene-LOC121932481,0,0,0,0,0,0,0,0,0,0,0,0
gene-MAMDC2,0,4,3,26,8,3,19,0,4,0,0,10
gene-MAMDC4,168,233,86,191,162,130,286,457,288,163,266,177
gene-AP2A1,2653,3455,2981,4466,2813,3411,4681,7422,3447,3175,2807,2941
gene-SEPTIN5,25,36,48,112,13,15,21,373,16,22,46,59
gene-RXFP1,364,541,404,143,617,634,683,1270,669,928,707,610
gene-DDB2,177,195,623,184,357,392,570,374,376,462,722,449
gene-DDB1,2778,4153,4632,5455,3280,5580,5079,8524,4107,5260,3418,4184
gene-LOC121936470,206,114,73,9,97,78,223,106,111,26,70,52
gene-LOC121936471,265,425,223,164,180,185,253,365,714,127,107,177
gene-LOC121936476,0,0,0,0,0,0,0,0,4,10,0,0
gene-LOC121936474,4,0,29,54,9,37,8,13,4,17,44,24
gene-LOC121936478,0,0,2,5,0,4,3,4,0,0,0,0
gene-LCMT2,174,298,330,173,282,193,367,575,392,220,505,196
gene-LCMT1,827,1656,1796,1745,1330,1326,2360,2319,2576,1083,2229,1860
gene-ADSS1,410,594,880,1403,862,726,858,2022,829,1055,751,1199
gene-ADSS2,223,118,153,273,132,110,204,453,453,156,214,105
gene-ACOD1,0,29,111,4,0,6,0,32,11,18,0,0
gene-KHNYN,646,1795,3300,1343,1011,1163,1237,3652,977,1008,2508,1252
gene-NEMP2,273,272,447,413,333,301,149,670,578,547,187,235
gene-NEMP1,595,683,836,1798,1103,866,1580,1769,881,1494,751,826
gene-COL18A1,2618,2578,3525,4997,3163,3850,6295,3026,3896,4674,2589,2063
gene-HUWE1,3039,3863,4535,3882,4385,4062,4426,8705,3753,4262,6281,4517
gene-LOC121920639,0,0,0,0,0,0,0,0,0,0,0,0
gene-IMMP2L,631,1274,724,317,830,1510,3917,1118,661,1756,935,499
gene-LOC121920636,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121920634,0,0,0,0,0,4,0,0,0,2,0,0
gene-LOC121920630,3,9,0,8,0,3,0,4,3,7,0,7
gene-MAK16,851,1044,940,1155,850,565,1462,1673,1011,1122,1151,1042
gene-LOC121931172,0,26,29,38,5,27,19,162,4,21,8,34
gene-LOC121931171,60,107,271,36,232,662,153,521,51,86,108,286
gene-VPS36,437,345,638,746,563,652,1107,1594,806,583,637,560
gene-VPS35,778,1250,1560,1612,1308,1709,2024,2646,839,1666,1715,1633
gene-RAB7A,2620,5155,2848,4586,3353,4090,7810,8790,3310,4180,4350,3522
gene-RAB7B,1452,797,856,1161,934,760,2131,2065,1617,915,1212,1046
gene-LOC121925379,284,502,203,142,192,149,289,272,203,187,127,171
gene-LOC121925378,0,0,308,0,7,651,0,0,0,4,0,0
gene-LOC121925371,0,16,43,31,26,150,0,26,0,33,6,0
gene-LOC121925373,13616,16017,14447,6284,10016,7452,3317,9383,793,18959,5252,4034
gene-HID1,201,97,102,225,144,215,205,545,281,66,98,213
gene-LOC121925376,1458,1638,1416,1949,1162,2143,2601,7200,820,1973,966,1224
gene-SET,4028,8146,6902,8895,4724,9326,11407,14204,4370,6786,4986,6108
gene-TMBIM6,21308,37786,36899,47518,33617,44367,45340,58502,15999,34504,29524,31492
gene-TINAGL1,1544,2577,3901,8724,2899,4737,2751,8457,1508,2972,3143,4265
gene-RANBP3L,378,483,236,7,474,176,97,895,82,578,77,260
gene-LOC121931792,0,0,0,0,0,0,0,0,0,19,0,0
gene-LOC121931793,0,0,0,0,0,4,0,8,0,0,7,4
gene-LOC121929711,0,3,0,0,0,0,0,0,3,0,7,0
gene-LOC121929717,80,97,38,67,48,52,169,158,45,58,32,34
gene-LOC121929716,210,329,354,232,575,368,618,1080,465,388,763,466
gene-LOC121929719,2270,2373,4877,1380,2483,2803,4585,4675,1933,3487,4459,4608
gene-LOC121931799,90,174,554,459,456,618,203,576,123,703,827,684
gene-APRT,520,510,433,266,304,285,844,902,272,396,401,297
gene-NOM1,537,699,782,723,531,688,810,1489,1115,784,421,802
gene-HP1BP3,3062,3758,4263,2490,2910,3321,5368,4588,5854,2760,4905,2729
gene-RPE,3821,3261,4177,4699,3260,4421,6640,6161,3630,4422,2853,2809
gene-RASGRF2,0,15,0,0,0,0,6,19,0,0,141,0
gene-RASGRF1,55,20,48,32,16,10,55,121,70,54,31,29
gene-LOC121930229,6,4,10,4,9,6,10,10,2,9,27,21
gene-LOC121930228,2,4,10,5,6,9,11,19,6,7,5,21
gene-LOC121930221,6,3,0,1,0,3,14,2,0,0,3,0
gene-LOC121930220,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121930223,0,0,1,4,2,0,2,0,2,1,4,5
gene-LOC121930222,0,1,3,0,9,19,0,2,0,8,1,6
gene-LOC121930225,1,0,0,1,1,2,7,1,2,1,2,2
gene-LOC121930224,0,0,9,1,6,2,3,0,2,9,2,5
gene-LOC121930227,0,4,0,7,4,0,6,7,0,0,2,0
gene-LOC121930226,0,0,0,37,0,49,85,120,375,28,35,37
gene-MAPK1IP1L,324,366,407,668,490,464,768,1338,530,367,577,449
gene-NEFM,0,17,75,3,0,14,0,0,4,26,39,31
gene-ATP6AP2,1368,1774,2870,3243,2589,2435,3761,4458,1159,3008,3236,1646
gene-ATP6AP1,1901,4126,2860,8097,3200,5166,4173,11271,1819,3620,3391,4444
gene-LOC121921271,19,5,7,8,27,0,8,41,15,37,10,4
gene-NBR1,528,1040,1071,2304,1055,1892,1811,3034,379,1531,654,1200
gene-LOC121921278,8,8,0,4,0,0,6,9,11,0,21,8
gene-LOC121921279,74,94,268,64,152,211,170,215,158,209,207,82
gene-LBR,165,326,256,1056,337,602,689,803,89,525,163,309
gene-MID2,331,252,790,400,443,548,462,863,175,706,392,451
gene-MID1,267,304,889,218,608,547,500,962,573,435,1832,818
gene-FLNA,989,1820,2042,1442,1642,1826,715,3975,1784,970,2263,986
gene-FLNC,37,87,66,53,89,93,34,448,76,30,193,92
gene-FLNB,3462,5156,2795,8356,5868,7753,7017,13401,3592,5677,4050,4997
gene-SMNDC1,919,1805,1208,2176,1035,1286,1898,2567,898,1236,960,1136
gene-LOC121937248,249,464,1049,1030,641,1326,1033,1124,402,1114,564,722
gene-LOC121937249,149,212,1095,256,658,1096,314,722,186,753,1427,735
gene-LOC121937245,0,0,0,0,0,0,0,0,0,0,0,0
gene-MAD2L2,210,233,569,94,290,355,392,396,278,346,288,153
gene-MAD2L1,0,0,0,7,0,0,0,4,4,0,15,0
gene-FGF21,146,131,622,46,72,375,375,230,59,806,543,114
gene-LOC121927844,0,6,0,0,9,4,0,0,0,12,0,0
gene-FGF23,17,174,23,33,48,24,72,507,29,30,30,42
gene-LOC121927841,465,0,2,0,2,0,0,160,2,42,2,0
gene-LOC121927840,1093,996,548,1422,2131,5590,2658,3234,447,10323,948,1243
gene-VGLL3,50,62,22,16,21,17,42,219,72,0,42,41
gene-VGLL2,0,0,0,0,0,4,0,0,0,0,0,0
gene-ABHD11,121,41,50,13,84,80,197,201,98,83,56,36
gene-ABHD13,287,528,445,800,361,483,521,1137,276,530,433,394
gene-ABHD12,284,714,755,1030,354,620,1162,1145,727,716,713,460
gene-ABHD15,9,18,37,0,0,12,36,74,0,56,21,38
gene-LOC121916145,0,4,0,0,0,0,0,40,0,0,0,4
gene-LOC121926138,217,200,165,75,170,124,223,445,221,232,196,174
gene-LOC121926139,8,46,176,36,85,107,82,302,14,42,0,26
gene-LOC121916148,20,8,86,76,162,144,8,65,30,261,319,93
gene-ABHD18,883,1550,1318,2324,1816,2520,3715,3149,1351,2319,2899,1701
gene-LOC121926132,0,0,0,0,0,0,1,0,1,0,0,0
gene-IL6ST,4025,8695,6845,29752,4982,4072,10355,15062,3361,4854,7473,5461
gene-LOC121933940,62,101,77,87,30,72,71,354,73,37,36,75
gene-LOC121933943,48,21,26,28,27,12,41,79,46,27,27,19
gene-LOC121933945,245,597,828,1253,583,843,1251,1213,306,1089,416,459
gene-LOC121933947,0,0,20,72,5,60,8,0,0,4,116,0
gene-LOC121933946,12,28,23,30,13,36,43,40,4,27,68,0
gene-LOC121933949,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933948,0,0,0,20,53,46,17,0,0,11,13,15
gene-TEX55,13,33,162,6,16,8,6,39,13,75,27,30
gene-TEX52,0,0,0,0,0,0,0,0,0,0,0,0
gene-TEX51,6,1,0,3,8,0,0,0,0,0,0,0
gene-MIDN,210,552,6183,3647,1968,5327,1668,2157,502,3674,13888,7507
gene-TRNAP-CGG-2,0,0,0,0,0,0,0,0,1,0,0,0
gene-TRNAP-CGG-3,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121922729,108,114,347,103,252,339,530,100,606,454,438,156
gene-LOC121922726,4,0,0,34,0,28,7,38,24,0,0,9
gene-LOC121914786,178,77,120,40,19,14,49,108,92,22,212,24
gene-LOC121922723,2075,3969,1807,5036,1918,2693,5293,7634,3246,2722,1546,1406
gene-LOC121914781,4,2,24,0,26,0,0,13,14,29,8,14
gene-LYRM9,159,137,166,20,201,257,198,70,147,161,82,100
gene-HOXB4,36,43,20,34,23,42,12,43,13,7,12,30
gene-LYRM4,23,34,34,73,23,48,45,28,70,29,60,38
gene-LYRM7,415,292,170,263,220,340,279,733,263,226,301,323
gene-LYRM1,326,328,250,47,195,180,212,403,328,219,226,255
gene-LYRM2,1496,1284,1045,1129,1646,766,2276,1241,2148,803,2040,1145
gene-LOC121927267,73,82,30,4,45,60,61,96,25,81,0,25
gene-LOC121927268,9386,19626,23946,35758,7917,16038,27885,34167,11239,13935,10497,14567
gene-ANKRD16,52,77,157,62,102,123,171,110,107,157,236,207
gene-NPEPPS,5208,4517,7764,6586,5284,6474,11358,12248,10976,7122,6618,6754
gene-LMCD1,49,70,40,16,19,39,23,76,0,128,41,17
gene-DBF4B,0,0,0,0,0,0,0,0,0,0,6,8
gene-QTRT2,216,244,253,382,161,277,286,520,442,257,223,214
gene-MBTPS2,92,215,335,549,351,530,401,553,148,395,91,196
gene-MBTPS1,1551,2115,2533,3435,2119,2469,2796,6534,2314,2061,1572,2019
gene-CDC42EP4,75,114,358,146,291,255,647,217,237,309,241,168
gene-CDC42EP5,1025,2974,1823,7122,1712,1832,2923,4057,959,1408,1920,1686
gene-CDC42EP2,180,388,2229,1061,1256,1471,408,2054,134,1867,4023,3099
gene-LAMA5,215,332,818,2302,731,1199,217,1229,168,429,601,907
gene-DHPS,215,211,184,300,251,430,432,588,361,350,123,182
gene-CDC42EP1,935,953,4768,1699,2766,8489,1481,2460,543,3210,4649,3289
gene-LOC121924766,5,22,15,0,21,14,31,0,4,12,12,0
gene-LOC121924760,0,7,0,11,0,30,0,0,0,0,0,0
gene-LOC121924763,0,4,0,0,0,4,0,0,32,4,0,4
gene-LOC121924762,0,8,0,0,0,2,0,0,4,0,0,0
gene-LOC121924769,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121915557,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121915552,0,0,0,0,0,0,0,0,0,0,4,0
gene-LOC121915553,0,4,8,0,0,4,4,0,0,0,0,0
gene-LOC121915551,0,20,0,0,6,0,0,0,0,0,0,0
gene-LOC121915558,0,0,0,0,0,0,0,0,0,0,0,3
gene-CCDC88C,553,372,1049,818,1045,1118,922,1282,623,779,1010,1122
gene-CPNE5,203,224,404,202,652,983,361,1037,128,930,549,375
gene-CCDC88A,263,248,288,327,262,252,254,779,524,209,359,140
gene-LOC121924180,43,11,26,7,4,0,8,9,63,14,55,44
gene-LOC121924183,14,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121924182,3,0,0,0,0,0,0,0,0,4,0,0
gene-LOC121924186,4,6,9,0,0,0,0,22,66,0,14,7
gene-LOC121924189,0,0,12,0,8954,14,0,6837,0,9053,97,10
gene-LOC121924188,479,868,332,124,93,1423,158,1427,119,158,172,553
gene-C1QL4,0,0,0,0,0,0,0,0,0,0,0,0
gene-C1QL3,0,5,0,0,3,0,0,0,0,6,0,0
gene-C1QL1,16,434,4,43,0,7,0,0,62,90,0,6
gene-CREBL2,2823,3876,3023,3415,3633,3555,5533,6316,1838,2858,2286,2696
gene-SREBF2,740,1228,1715,3276,1337,1690,2721,4152,946,1953,937,1501
gene-SREBF1,3297,2938,7797,24640,4138,4023,4726,23799,1559,2121,4503,8686
gene-LOC121916925,801,1160,1074,415,1064,1201,652,3248,702,603,1131,719
gene-LOC121916922,1379,1775,3218,4412,3056,3459,2058,3072,1681,3842,3727,3435
gene-TBC1D5,469,638,676,1207,509,823,755,1515,852,915,506,842
gene-TBC1D4,823,784,1946,6193,632,1012,2576,3499,1211,953,1362,1993
gene-TBC1D1,53,65,168,141,76,137,96,478,51,183,51,104
gene-SLC25A53,91,85,13,179,44,21,107,12,36,104,48,46
gene-TBC1D2,124,134,148,89,117,224,61,443,47,313,49,120
gene-TBC1D9,32,31,125,38,30,8,11,141,98,25,173,33
gene-TBC1D8,658,746,1254,3162,671,888,947,2965,1464,813,2124,2387
gene-LOC121924063,4,12,0,29,7,4,35,7,8,0,21,0
gene-LOC121914208,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121921317,378,480,542,873,997,875,957,884,376,1124,617,728
gene-GIPC3,0,0,0,0,0,0,0,0,0,0,0,0
gene-GIPC2,37,56,42,38,10,0,38,61,46,46,43,20
gene-GIPC1,156,236,695,452,628,722,337,662,153,566,908,751
gene-LOC121925677,0,4,0,4,0,0,0,0,0,0,0,0
gene-LOC121926858,47,88,143,146,112,193,163,317,37,187,19,88
gene-LOC121926855,417,755,690,544,543,729,1256,897,625,760,499,457
gene-LOC121926857,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121926856,122,411,485,560,371,718,598,903,17,664,102,305
gene-VTA1,402,692,552,478,375,692,701,1406,973,531,364,483
gene-CCT7,2154,3377,3945,4587,2671,3980,5643,5987,4098,3352,4399,4557
gene-CCT5,2001,3085,4275,3357,1982,4146,3735,5168,2278,3238,3385,3259
gene-ADRA2B,435,527,550,1726,713,647,858,1140,396,553,720,744
gene-CCT3,9252,11380,13280,14679,10901,16474,21881,14501,15333,12650,12683,17728
gene-CCT2,1559,2433,2747,3138,2435,2931,2660,5214,2085,3233,3242,2861
gene-CCT8,753,1508,1161,2600,932,1274,1753,3926,1388,1345,1278,1253
gene-ERMARD,90,118,88,80,179,151,160,355,205,173,105,104
gene-ETFBKMT,4,3,27,4,17,20,19,15,0,36,29,21
gene-NSMCE4A,356,374,320,306,327,291,503,865,566,240,210,240
gene-NPFFR2,2692,2405,1013,3314,2470,1764,3492,8953,2544,1057,3437,848
gene-NPFFR1,0,0,0,0,0,3,0,4,0,0,0,8
gene-FASTKD5,48,103,256,288,201,312,193,412,104,246,273,264
gene-FASTKD1,45,136,125,113,88,195,71,345,136,234,179,122
gene-FASTKD3,143,255,136,217,86,175,314,434,114,253,48,119
gene-FASTKD2,270,505,688,575,425,804,654,1268,501,1022,340,492
gene-LOC121919118,0,0,0,0,0,0,0,0,0,0,0,0
gene-NCSTN,1990,3416,2928,2469,2167,3393,4742,5648,2581,2307,2603,2126
gene-PTAR1,670,703,1045,1401,1492,2510,1119,2581,482,2238,1022,1545
gene-FNBP4,4043,2724,3228,5497,2640,2593,5415,6372,6780,2131,2752,2842
gene-ABHD17B,185,227,248,588,238,341,473,675,164,381,520,257
gene-ABHD17A,568,646,918,921,660,756,1099,1272,1063,752,797,736
gene-FNBP1,1565,1098,1376,6027,1140,1608,2187,4891,1906,1198,1062,2131
gene-CALM1,801,881,1051,659,335,623,394,3267,511,592,671,557
gene-CALM3,7631,8914,7314,8198,7984,7435,19786,9974,9369,10175,10650,7185
gene-CALM2,2185,2970,1249,3046,1715,1568,2210,6429,2219,2136,3418,1946
gene-API5,268,874,837,1394,658,1267,1282,1885,275,1079,546,849
gene-ZNF408,149,79,95,76,109,98,208,234,88,89,135,109
gene-LOC121917446,0,2,0,0,0,0,0,0,0,0,0,9
gene-FAM13C,0,4,4,4,0,9,0,47,6,0,0,3
gene-PTBP1,2319,3611,3141,6455,3383,3991,6977,8680,3974,4069,3050,3783
gene-FAM13A,1108,1251,1228,1652,1697,1704,2507,4576,2921,1166,1409,1325
gene-LOC121929129,0,17,0,0,0,0,0,0,0,0,0,0
gene-AHSA1,836,1296,1525,1787,1698,1141,1553,2795,2362,1505,4151,2365
gene-TASL,21,4,6,11,0,0,8,4,23,0,0,7
gene-ZNF407,154,482,328,542,259,433,415,738,244,342,247,452
gene-UPF1,230,529,1320,1359,750,1291,838,1583,244,1246,329,1196
gene-UPF2,2114,2093,3150,3445,3127,2372,2427,3298,6571,2066,3163,2819
gene-LOC121934320,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121934321,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121934322,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121934323,2738,4564,2884,6217,3527,5958,3898,8058,1100,5683,1826,3687
